id;holder_login;connected_at;status;masked_account;account_type
1;cauliflower promptly harmful;2026-05-28T19:46:35;ERROR;silver fundraising;uh-huh carouse among
2;anti;2026-05-28T19:49:46;ERROR;extra-large meh;probate before pish
3;across statue than;2026-05-29T01:12:17;DISCONNECTED;legging;in libel prejudge
4;longingly;2026-05-29T11:26:26;CONNECTED;circa;upon duh warming
5;oil yum;2026-05-29T05:46:09;CONNECTED;gee;pleased illiterate why
6;inferior;2026-05-29T12:50:32;DISCONNECTED;twist;sudden phew
7;who rigidly;2026-05-29T00:27:29;CONNECTED;tattered whenever tr;mechanically hovercraft
8;famously junior round;2026-05-29T13:30:32;DISCONNECTED;factorise;failing
9;nor forenenst unsightly;2026-05-28T18:10:48;ERROR;integer worriedly;intent
10;coordinated eminent gracious;2026-05-28T20:54:45;ERROR;indeed;rosin fond
